# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	angle_w2	x_iscs	y_iscs	z_iscs	angle_iscs
-36.66427	113.48413	137.00000	0.00000	-30.00000	0.00000	0.30000	0.00000	0.00000	0.00000	0.00000
-53.04731	124.95566	137.00000	19.99973	-29.89528	0.00000	0.30000	20.00000	0.00000	0.00000	0.00000
-69.43035	136.42719	137.00000	39.99945	-29.79056	0.00000	0.30000	40.00000	-0.00000	0.00000	0.00000
-85.81339	147.89871	137.00000	59.99918	-29.68584	0.00000	0.30000	60.00000	0.00000	0.00000	0.00000
-102.19643	159.37024	137.00000	79.99890	-29.58112	0.00000	0.30000	80.00000	0.00000	0.00000	0.00000
-118.57948	170.84177	137.00000	99.99863	-29.47640	0.00000	0.30000	100.00000	0.00000	0.00000	0.00000
-134.96252	182.31330	137.00000	119.99836	-29.37168	0.00000	0.30000	120.00000	-0.00000	0.00000	0.00000
-151.34556	193.78483	137.00000	139.99808	-29.26697	0.00000	0.30000	140.00000	-0.00000	0.00000	0.00000
-167.72860	205.25636	137.00000	159.99781	-29.16225	0.00000	0.30000	160.00000	0.00000	0.00000	0.00000
-184.11164	216.72789	137.00000	179.99753	-29.05753	0.00000	0.30000	180.00000	0.00000	0.00000	0.00000
-200.49468	228.19941	137.00000	199.99726	-28.95281	0.00000	0.30000	200.00000	0.00000	0.00000	0.00000
-216.87772	239.67094	137.00000	219.99698	-28.84809	0.00000	0.30000	220.00000	0.00000	0.00000	0.00000
-233.26076	251.14247	137.00000	239.99671	-28.74337	0.00000	0.30000	240.00000	0.00000	0.00000	0.00000
-249.64380	262.61400	137.00000	259.99644	-28.63865	0.00000	0.30000	260.00000	-0.00000	0.00000	0.00000
-266.02684	274.08553	137.00000	279.99616	-28.53393	0.00000	0.30000	280.00000	0.00000	0.00000	0.00000
-282.40988	285.55706	137.00000	299.99589	-28.42921	0.00000	0.30000	300.00000	0.00000	0.00000	0.00000
-298.79293	297.02859	137.00000	319.99561	-28.32449	0.00000	0.30000	320.00000	-0.00000	0.00000	0.00000
-315.17597	308.50012	137.00000	339.99534	-28.21977	0.00000	0.30000	340.00000	0.00000	0.00000	0.00000
-331.55901	319.97164	137.00000	359.99507	-28.11505	0.00000	0.30000	360.00000	-0.00000	0.00000	0.00000
-347.94205	331.44317	137.00000	379.99479	-28.01033	0.00000	0.30000	380.00000	0.00000	0.00000	0.00000
-364.32509	342.91470	137.00000	399.99452	-27.90561	0.00000	0.30000	400.00000	0.00000	0.00000	0.00000
-380.70813	354.38623	137.00000	419.99424	-27.80090	0.00000	0.30000	420.00000	0.00000	0.00000	0.00000
-397.09117	365.85776	137.00000	439.99397	-27.69618	0.00000	0.30000	440.00000	0.00000	0.00000	0.00000
-413.47421	377.32929	137.00000	459.99369	-27.59146	0.00000	0.30000	460.00000	-0.00000	0.00000	0.00000
-429.85725	388.80082	137.00000	479.99342	-27.48674	0.00000	0.30000	480.00000	0.00000	0.00000	0.00000
-446.24029	400.27235	137.00000	499.99315	-27.38202	0.00000	0.30000	500.00000	-0.00000	0.00000	0.00000
-462.62333	411.74387	137.00000	519.99287	-27.27730	0.00000	0.30000	520.00000	-0.00000	0.00000	0.00000
-479.00638	423.21540	137.00000	539.99260	-27.17258	0.00000	0.30000	540.00000	-0.00000	0.00000	0.00000
-495.38942	434.68693	137.00000	559.99232	-27.06786	0.00000	0.30000	560.00000	-0.00000	0.00000	0.00000
-511.77246	446.15846	137.00000	579.99205	-26.96314	0.00000	0.30000	580.00000	0.00000	0.00000	0.00000
-528.15550	457.62999	137.00000	599.99178	-26.85842	0.00000	0.30000	600.00000	-0.00000	0.00000	0.00000
