# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	x_iscs	y_iscs	z_iscs
-36.66427	113.48413	137.00000	0.00000	-30.00000	0.00000	0.00000	0.00000	0.00000
-118.57948	170.84177	137.00000	99.99863	-29.47640	0.00000	100.00000	0.00000	0.00000
-200.49468	228.19941	137.00000	199.99726	-28.95281	0.00000	200.00000	0.00000	0.00000
-282.40988	285.55706	137.00000	299.99589	-28.42921	0.00000	300.00000	0.00000	0.00000
-364.32509	342.91470	137.00000	399.99452	-27.90561	0.00000	400.00000	0.00000	0.00000
-446.24029	400.27235	137.00000	499.99315	-27.38202	0.00000	500.00000	0.00000	0.00000
-528.15550	457.62999	137.00000	599.99178	-26.85842	0.00000	600.00000	0.00000	0.00000
-610.07070	514.98763	137.00000	699.99040	-26.33483	0.00000	700.00000	0.00000	0.00000
-691.98591	572.34528	137.00000	799.98903	-25.81123	0.00000	800.00000	0.00000	0.00000
-773.90111	629.70292	137.00000	899.98766	-25.28763	0.00000	900.00000	0.00000	0.00000
-855.81632	687.06056	137.00000	999.98629	-24.76404	0.00000	1000.00000	0.00000	0.00000
-937.73152	744.41821	137.00000	1099.98492	-24.24044	0.00000	1100.00000	0.00000	0.00000
-1019.64672	801.77585	137.00000	1199.98355	-23.71684	0.00000	1200.00000	0.00000	0.00000
-1101.56193	859.13349	137.00000	1299.98218	-23.19325	0.00000	1300.00000	0.00000	0.00000
-1183.47713	916.49114	137.00000	1399.98081	-22.66965	0.00000	1400.00000	0.00000	0.00000
-1265.39234	973.84878	137.00000	1499.97944	-22.14605	0.00000	1500.00000	0.00000	0.00000
-1347.30754	1031.20643	137.00000	1599.97807	-21.62246	0.00000	1600.00000	0.00000	0.00000
-1429.22275	1088.56407	137.00000	1699.97670	-21.09886	0.00000	1700.00000	0.00000	0.00000
-1511.13795	1145.92171	137.00000	1799.97533	-20.57527	0.00000	1800.00000	0.00000	0.00000
-1593.05316	1203.27936	137.00000	1899.97396	-20.05167	0.00000	1900.00000	0.00000	0.00000
-1674.96836	1260.63700	137.00000	1999.97258	-19.52807	0.00000	2000.00000	0.00000	0.00000
-1756.88356	1317.99464	137.00000	2099.97121	-19.00448	0.00000	2100.00000	0.00000	0.00000
-1838.79877	1375.35229	137.00000	2199.96984	-18.48088	0.00000	2200.00000	0.00000	0.00000
-1920.71397	1432.70993	137.00000	2299.96847	-17.95728	0.00000	2300.00000	0.00000	0.00000
-2002.62918	1490.06757	137.00000	2399.96710	-17.43369	0.00000	2400.00000	0.00000	0.00000
-2084.54438	1547.42522	137.00000	2499.96573	-16.91009	0.00000	2500.00000	0.00000	0.00000
-2166.45959	1604.78286	137.00000	2599.96436	-16.38649	0.00000	2600.00000	0.00000	0.00000
-2248.37479	1662.14051	137.00000	2699.96299	-15.86290	0.00000	2700.00000	0.00000	0.00000
-2330.29000	1719.49815	137.00000	2799.96162	-15.33930	0.00000	2800.00000	0.00000	0.00000
-2412.20520	1776.85579	137.00000	2899.96025	-14.81570	0.00000	2900.00000	0.00000	0.00000
-2494.12040	1834.21344	137.00000	2999.95888	-14.29211	0.00000	3000.00000	0.00000	0.00000
-2576.03561	1891.57108	137.00000	3099.95751	-13.76851	0.00000	3100.00000	0.00000	0.00000
-2657.95081	1948.92872	137.00000	3199.95614	-13.24492	0.00000	3200.00000	0.00000	0.00000
-2739.86602	2006.28637	137.00000	3299.95476	-12.72132	0.00000	3300.00000	0.00000	0.00000
-2821.78122	2063.64401	137.00000	3399.95339	-12.19772	0.00000	3400.00000	0.00000	0.00000
-2903.69643	2121.00165	137.00000	3499.95202	-11.67413	0.00000	3500.00000	0.00000	0.00000
