# Generated with BEERcomponents.py
# Date:	May 14, 2019, 16:48:06
# Version:	1.4
ID	start	end	length	type	name	w1	w2	h1	h2	ctr1	ctr2	mL	mR	mT	mB	geomH	geomV	comment
 	2025.5	2026.5	1.0	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	2026.5	2030.5	4.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-1	2030.5	5394.9	3364.4	optics	NBOA	84.93	30.13	35.00	59.68	5.60	1.47	2.5	2.5	4	4	straight, convergent	ellipse(a:14423, b:40, ctr:15000), expanding	monolith insert
 	5394.9	5396.4	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5396.4	5397.4	1.0	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5397.4	5400.4	3.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5400.4	5404.4	4.0	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5404.4	5407.9	3.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5407.9	5408.4	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5408.4	5410.9	2.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-2	5410.9	5893.9	483.0	optics	BBG	29.87	22.00	59.76	62.04	1.45	0.86	2.5	2.5	4	4	straight, convergent	flat expanding, on ellipse a:14423, b:40, ctr:15000	bridge beam guide
 	5893.9	5896.4	2.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5896.4	5896.9	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5896.9	5914.4	17.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5914.4	5914.9	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	5914.9	5934.9	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-3	5934.9	5949.9	15.0	optics	GSW	22.50	22.50	65.00	65.00	1.08	1.15	3	3	0	0	stack of 150 um Si wafers, angle=-0.57o rel. to ISCS_x axis	 	bi-spectral switch, adjustable angle, movable on/off the beam
 	5949.9	5969.9	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-4-01	5969.9	6425.0	455.1	optics	GCA1	20.00	20.00	62.38	64.33	1.26	3.64	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	chopper guide element
 	6425.0	6445.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PSC1	6445.0	6455.0	10.0	chopper	PSC1	20.00	 	64.43	 	3.77	 	 	 	 	 	 	 	pulse shaping, fmax=280 Hz, win=144 deg
 	6455.0	6475.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-4-02	6475.0	6548.0	73.0	optics	GCA2	20.00	20.00	64.53	64.82	3.90	4.29	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	chopper guide element
 	6548.0	6549.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6549.5	6550.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6550.0	6750.0	200.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6750.0	6750.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6750.5	6752.0	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-4-03	6752.0	6825.0	73.0	optics	GCA3	20.00	20.00	65.63	65.91	5.35	5.74	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	chopper guide element
 	6825.0	6845.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PSC2	6845.0	6855.0	10.0	chopper	PSC2	20.00	 	66.00	 	5.87	 	 	 	 	 	 	 	pulse shaping, variable distance 6650 to 6850, fmax=280 Hz, win=144 deg
 	6855.0	6875.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-4-04	6875.0	6948.0	73.0	optics	GCA4	20.00	20.00	66.10	66.37	6.00	6.38	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	chopper guide element
 	6948.0	6949.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6949.5	6950.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6950.0	6960.0	10.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6960.0	6960.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	6960.5	6962.0	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-5	6962.0	7350.0	388.0	optics	GCB	20.00	20.00	66.42	67.82	6.45	8.48	4	4	3	3	straight, parallel	flat expanding, on ellipse a:14423, b:40, ctr:15000	chopper guide element
